,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
93,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,3.0,0.8199999928474426,,1.0,2000.0,
94,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:28.802000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
95,MARKET_BY_LEVEL,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.802000,,,,,,,,,,,,3.0,0.0,,0.0,0.0,
96,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:28.802000,,,,,,,,,,,,1.0,0.8500000238418579,,1.0,4000.0,
97,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:28.802000,,,,,,,,,,,,2.0,0.8399999737739563,,1.0,2000.0,
98,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.802000,,,,,,,,,,,,3.0,0.8199999928474426,,1.0,2000.0,
99,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:32:28,1.0,0.8500000238418579,3646,,0.0,,,,,,
100,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:32:28,2.0,0.8399999737739563,5256,,0.0,,,,,,
101,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:29.387000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
102,MARKET_BY_LEVEL,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:29.387000,,,,,,,,,,,,3.0,0.0,,0.0,0.0,
103,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:29.387000,,,,,,,,,,,,2.0,0.8299999833106995,,1.0,2000.0,
104,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:29.387000,,,,,,,,,,,,3.0,0.8199999928474426,,1.0,2000.0,
105,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:29.388000,,,,,,,,,,,,1.0,0.8299999833106995,,1.0,2000.0,
106,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:29.388000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
107,MARKET_BY_LEVEL,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:29.388000,,,,,,,,,,,,3.0,0.0,,0.0,0.0,
108,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:29.388000,,,,,,,,,,,,1.0,0.8299999833106995,,2.0,6000.0,
109,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,32.0,,,,,,,,,,,,,2023-06-23 01:32:29.387000,2.0,0.8399999737739563,,,2000.0,,,,,,73135618
110,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,33.0,,,,,,,,,,,,,2023-06-23 01:32:29.387000,2.0,0.8299999833106995,,,2000.0,,,,,,73349378
111,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,34.0,,,,,,,,,,,,,2023-06-23 01:32:29.388000,1.0,0.8500000238418579,,,4000.0,,,,,,73136386
112,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,35.0,,,,,,,,,,,,,2023-06-23 01:32:29.388000,2.0,0.8299999833106995,,,4000.0,,,,,,73349634
113,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:32:29,1.0,0.8299999833106995,5256,,0.0,,,,,,
