,Time,Stock_code,Market_type,Fragment_type,Market_subtype,MD_TABLE_CMD_RT,MBO_SEQNUM_RT,MBO_ORDER_ID_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_SIZE_RT,MBO_ASK_BROKER_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_SIZE_RT,MBO_BID_BROKER_RT,MBO_TIME_RT,MBO_BID_COND_CODE_RT,MBO_ASK_COND_CODE_RT
85,"""09:30:05.1710""",2660,MBO,NONE,ASK,ADD,22.0,"""31373138313935342020""",2.0,1.28999996185303,40000.0,,,,,,"""2021-08-12T09:30:05.018+08:00""",,""""""
86,"""09:30:05.2910""",2660,TOP,NONE,ASK,REPLACE,,,2.0,1.28999996185303,0.0,"""8578""",,,,,"""2021-08-12T09:30:05.000+08:00""",,""""""
87,"""09:30:05.2910""",2660,TOP,NONE,ASK,REPLACE,,,3.0,1.35999965667725,0.0,"""2074""",,,,,"""2021-08-12T09:30:05.000+08:00""",,""""""
88,"""09:30:05.2910""",2660,TOP,NONE,ASK,REPLACE,,,4.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:30:05.000+08:00""",,""""""
89,"""09:30:05.2910""",2660,TOP,NONE,ASK,REPLACE,,,5.0,1.39999961853027,0.0,"""8592""",,,,,"""2021-08-12T09:30:05.000+08:00""",,""""""
90,"""09:30:07.6737""",2660,MBO,NONE,BID,ADD,23.0,"""31383433333238322020""",,,,,1.0,1.27000045776367,24000.0,,"""2021-08-12T09:30:07.515+08:00""","""""",
91,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,1.0,1.27000045776367,0.0,"""4821""","""2021-08-12T09:30:07.000+08:00""","""""",
92,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,2.0,1.26000022888184,0.0,"""1978""","""2021-08-12T09:30:07.000+08:00""","""""",
93,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.26000022888184,0.0,"""2245""","""2021-08-12T09:30:07.000+08:00""","""""",
94,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.26000022888184,0.0,"""2310""","""2021-08-12T09:30:07.000+08:00""","""""",
95,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.25,0.0,""" 249""","""2021-08-12T09:30:07.000+08:00""","""""",
96,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.23999977111816,0.0,"""6699""","""2021-08-12T09:30:07.000+08:00""","""""",
97,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:30:07.000+08:00""","""""",
98,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:30:07.000+08:00""","""""",
99,"""09:30:07.7054""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.21000003814697,0.0,"""2074""","""2021-08-12T09:30:07.000+08:00""","""""",
100,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:30:07.000+08:00""","""""",
101,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:30:07.000+08:00""","""""",
102,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.19999980926514,0.0,"""2310""","""2021-08-12T09:30:07.000+08:00""","""""",
103,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,13.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:30:07.000+08:00""","""""",
104,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,14.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:30:07.000+08:00""","""""",
105,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,15.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:30:07.000+08:00""","""""",
106,"""09:30:07.7134""",2660,TOP,NONE,BID,REPLACE,,,,,,,16.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:30:07.000+08:00""","""""",
107,"""09:30:15.3668""",2660,MBO,NONE,BID,ADD,24.0,"""32313633343831382020""",,,,,16.0,1.11999988555908,20000.0,,"""2021-08-12T09:30:15.213+08:00""","""""",
108,"""09:30:15.4708""",2660,TOP,NONE,BID,REPLACE,,,,,,,16.0,1.11999988555908,0.0,"""6729""","""2021-08-12T09:30:15.000+08:00""","""""",
109,"""09:30:15.4708""",2660,TOP,NONE,BID,REPLACE,,,,,,,17.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:30:15.000+08:00""","""""",
110,"""09:30:16.3610""",2660,MBO,NONE,ASK,ADD,25.0,"""32323038343836362020""",4.0,1.35999965667725,30000.0,,,,,,"""2021-08-12T09:30:16.199+08:00""",,""""""
111,"""09:30:16.4825""",2660,TOP,NONE,ASK,REPLACE,,,4.0,1.35999965667725,0.0,"""7357""",,,,,"""2021-08-12T09:30:16.000+08:00""",,""""""
112,"""09:30:16.4825""",2660,TOP,NONE,ASK,REPLACE,,,5.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:30:16.000+08:00""",,""""""
113,"""09:30:16.4825""",2660,TOP,NONE,ASK,REPLACE,,,6.0,1.39999961853027,0.0,"""8592""",,,,,"""2021-08-12T09:30:16.000+08:00""",,""""""
114,"""09:30:36.6103""",2660,MBO,NONE,BID,DEL,26.0,"""31323438373638322020""",,,,,9.0,1.21000003814697,2000.0,,"""2021-08-12T09:30:36.454+08:00""","""""",
115,"""09:30:36.6123""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:30:36.000+08:00""","""""",
116,"""09:30:36.6133""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:30:36.000+08:00""","""""",
117,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.19999980926514,0.0,"""2310""","""2021-08-12T09:30:36.000+08:00""","""""",
118,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:30:36.000+08:00""","""""",
119,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,13.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:30:36.000+08:00""","""""",
120,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,14.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:30:36.000+08:00""","""""",
121,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,15.0,1.11999988555908,0.0,"""6729""","""2021-08-12T09:30:36.000+08:00""","""""",
122,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE,,,,,,,16.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:30:36.000+08:00""","""""",
123,"""09:30:36.6146""",2660,TOP,NONE,BID,REPLACE_CLEAR,,,,,,,17.0,0.0,0.0,"""    ""","""2021-08-12T09:30:36.000+08:00""","""""",
124,"""09:30:36.7109""",2660,MBO,NONE,ASK,DEL,27.0,"""31323438373432362020""",3.0,1.35999965667725,2000.0,,,,,,"""2021-08-12T09:30:36.554+08:00""",,""""""
125,"""09:30:36.7349""",2660,TOP,NONE,ASK,REPLACE,,,3.0,1.35999965667725,0.0,"""7357""",,,,,"""2021-08-12T09:30:36.000+08:00""",,""""""
126,"""09:30:36.7429""",2660,TOP,NONE,ASK,REPLACE,,,4.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:30:36.000+08:00""",,""""""
127,"""09:30:36.7429""",2660,TOP,NONE,ASK,REPLACE,,,5.0,1.39999961853027,0.0,"""8592""",,,,,"""2021-08-12T09:30:36.000+08:00""",,""""""
128,"""09:30:36.7429""",2660,TOP,NONE,ASK,REPLACE_CLEAR,,,6.0,0.0,0.0,"""    """,,,,,"""2021-08-12T09:30:36.000+08:00""",,""""""
129,"""09:31:27.4915""",2660,MBO,NONE,BID,ADD,28.0,"""35373235393236362020""",,,,,12.0,1.19999980926514,20000.0,,"""2021-08-12T09:31:27.338+08:00""","""""",
130,"""09:31:27.6434""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.19999980926514,0.0,"""4663""","""2021-08-12T09:31:27.000+08:00""","""""",
131,"""09:31:27.6434""",2660,TOP,NONE,BID,REPLACE,,,,,,,13.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:31:27.000+08:00""","""""",
