Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type
2023-06-26 10:32:35.694000,5337,2.59,ASK,28000.0,Removed Order,2.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.744000,5346,2.61,BID,1000.0,New Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.744000,5346,2.61,BID,1000.0,Removed Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.744000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:32:35.748000,5342,2.57,BID,21000.0,Removed Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.752000,5346,2.58,BID,21000.0,New Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.752000,8550,2.52,BID,126000.0,Removed Order,28.0,,ABN AMRO Clearing Hong Kong Limited,
2023-06-26 10:32:35.775000,2079,2.55,BID,10000.0,Removed Order,18.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:35.775000,2079,2.58,BID,10000.0,New Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:35.775000,8550,2.54,BID,126000.0,New Order,21.0,,ABN AMRO Clearing Hong Kong Limited,
2023-06-26 10:32:36.074000,1420,2.6,ASK,4000.0,New Order,13.0,,Stockwell Securities Limited,
2023-06-26 10:32:36.217000,3436,2.59,ASK,1000.0,Removed Order,4.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:37.762000,3448,2.59,ASK,1000.0,New Order,5.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:39.299000,3436,2.59,ASK,1000.0,New Order,6.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:40.306000,2044,2.59,ASK,52000.0,Removed Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:40.735000,3448,2.6,ASK,1000.0,Removed Order,10.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:41.673000,4107,2.6,ASK,1000.0,Removed Order,11.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:32:41.673000,4107,2.61,ASK,1000.0,New Order,16.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:32:50.512000,9064,2.59,ASK,8000.0,New Order,6.0,,UBS Securities Hong Kong Limited,
2023-06-26 10:32:50.513000,1836,2.51,BID,683000.0,Removed Order,34.0,,Instinet Pacific Limited,
2023-06-26 10:32:55.278000,5998,2.52,BID,660000.0,New Order,30.0,,China Innovation Market Service Company Limited,
2023-06-26 10:32:55.283000,5346,2.58,BID,21000.0,Removed Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:55.308000,2079,2.58,BID,10000.0,Removed Order,1.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:55.308000,2079,2.55,BID,10000.0,New Order,17.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:55.308000,2079,2.57,BID,12000.0,Removed Order,3.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:55.313000,5347,2.57,BID,21000.0,New Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:55.546000,3448,2.59,ASK,1000.0,Removed Order,4.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:58.728000,3448,2.59,ASK,1000.0,New Order,6.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:58.857000,3436,2.59,ASK,1000.0,Removed Order,4.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:58.861000,3448,2.59,ASK,1000.0,New Order,6.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:03.693000,3436,2.59,ASK,1000.0,Removed Order,3.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:03.693000,3448,2.59,ASK,1000.0,Removed Order,5.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:06.019000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:33:06.019000,5337,2.59,ASK,1000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:33:06.019000,9064,2.59,ASK,3000.0,Trade,1.0,,UBS Securities Hong Kong Limited,Passive
2023-06-26 10:33:06.019000,3646,2.57,BID,10000.0,New Order,4.0,,Merrill Lynch Far East Limited,
2023-06-26 10:33:06.074000,9064,2.59,ASK,2000.0,Trade,1.0,,UBS Securities Hong Kong Limited,Passive
2023-06-26 10:33:21.075000,5345,2.59,ASK,2000.0,New Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:33:35.844000,9064,2.59,ASK,3000.0,Trade,1.0,,UBS Securities Hong Kong Limited,Passive
2023-06-26 10:33:35.844000,3448,2.59,ASK,1000.0,Trade,1.0,,Goldman Sachs (Asia) Securities Limited,Passive
2023-06-26 10:33:35.844000,5345,2.59,ASK,1000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:33:35.902000,5345,2.59,ASK,1000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:33:35.902000,2045,2.6,ASK,10000.0,Removed Order,4.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:36.818000,6996,2.61,ASK,181000.0,Removed Order,9.0,,China Investment Information Services Limited,
2023-06-26 10:33:36.818000,4457,2.63,ASK,260000.0,Removed Order,18.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:36.823000,5339,2.58,BID,15000.0,New Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:33:37.217000,4107,2.61,ASK,1000.0,Removed Order,9.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:33:37.920000,3436,2.61,ASK,1000.0,New Order,9.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:37.921000,2428,2.62,ASK,187000.0,New Order,15.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:37.927000,5339,2.58,BID,15000.0,Removed Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:33:45.158000,4457,2.64,ASK,262000.0,New Order,23.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:48.111000,2044,2.6,ASK,79000.0,New Order,6.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:48.111000,2045,2.6,ASK,8000.0,New Order,7.0,,Barclays Capital Asia Limited,
2023-06-26 10:33:48.113000,4107,2.6,ASK,1000.0,New Order,8.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:33:48.113000,4107,2.62,ASK,1000.0,New Order,19.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:33:48.194000,3436,2.61,ASK,1000.0,Removed Order,12.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:48.196000,3436,2.6,ASK,1000.0,New Order,9.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:33:48.539000,3646,2.57,BID,10000.0,Removed Order,4.0,,Merrill Lynch Far East Limited,
2023-06-26 10:34:06.667000,5342,2.6,ASK,5000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:34:06.676000,2079,2.63,ASK,14000.0,New Order,23.0,,Barclays Capital Asia Limited,
2023-06-26 10:34:06.735000,5342,2.6,ASK,1000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:34:25.503000,5998,2.62,ASK,2000.0,Removed Order,17.0,,China Innovation Market Service Company Limited,
2023-06-26 10:34:32.339000,6387,2.55,BID,4000.0,New Order,18.0,,Morgan Stanley Hong Kong Securities Limited,
2023-06-26 10:35:13.201000,5999,2.57,BID,20000.0,Trade,1.0,Y,China Innovation Market Service Company Limited,Automatch
2023-06-26 10:35:13.256000,5342,2.6,ASK,5000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Passive
2023-06-26 10:36:15.576000,9063,2.46,BID,2000.0,Removed Order,44.0,,UBS Securities Hong Kong Limited,
2023-06-26 10:37:02.844000,3287,2.6,ASK,1000.0,New Order,10.0,,Merrill Lynch Far East Limited,
2023-06-26 10:37:05.223000,3448,2.6,ASK,200000.0,New Order,11.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:37:05.229000,5347,2.57,BID,21000.0,Removed Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:37:05.230000,4821,2.56,BID,7000.0,New Order,8.0,,Valuable Capital Limited,
2023-06-26 10:37:05.236000,1420,2.6,ASK,4000.0,Removed Order,5.0,,Stockwell Securities Limited,
2023-06-26 10:37:05.251000,2079,2.57,BID,10000.0,Removed Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:37:05.251000,5999,2.54,BID,10000.0,New Order,21.0,,China Innovation Market Service Company Limited,
2023-06-26 10:37:05.271000,2077,2.56,BID,10000.0,Removed Order,6.0,,Barclays Capital Asia Limited,
2023-06-26 10:37:05.271000,2077,2.53,BID,10000.0,New Order,26.0,,Barclays Capital Asia Limited,
2023-06-26 10:37:05.303000,3448,2.6,ASK,1000.0,New Order,11.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:37:06.525000,3436,2.61,ASK,1000.0,New Order,15.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:37:21.732000,1172,2.59,ASK,10000.0,New Order,1.0,,Huatai Financial Holdings (Hong Kong) Limited,
2023-06-26 10:37:21.732000,2045,2.59,ASK,9000.0,New Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:37:21.732000,4821,2.56,BID,7000.0,Removed Order,6.0,,Valuable Capital Limited,
2023-06-26 10:37:21.733000,4107,2.62,ASK,1000.0,Removed Order,23.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:37:21.734000,5342,2.59,ASK,75000.0,New Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:37:21.740000,6098,2.6,ASK,1000.0,New Order,15.0,,Tai Fung Kuentai Securities Company Limited,
2023-06-26 10:37:21.744000,6098,2.6,ASK,1000.0,Removed Order,15.0,,Tai Fung Kuentai Securities Company Limited,
2023-06-26 10:37:21.745000,3289,2.59,ASK,1000.0,New Order,4.0,,Merrill Lynch Far East Limited,
2023-06-26 10:37:21.746000,4107,2.59,ASK,1000.0,New Order,5.0,,BNP Paribas Securities (Asia) Limited,
