,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,
94,7/3/2023 09:42:37.279,8290,0.475,BID,30000,New Order,6,,Yue Xiu Securities Company Limited,,,
95,7/3/2023 09:43:01.208,1799,0.475,BID,20000,Removed Order,3,,Bright Smart Securities International (H.K.) Limited,,,
96,7/3/2023 09:43:01.208,8293,0.48,ASK,20000,Trade,1,,Yue Xiu Securities Company Limited,,,
97,7/3/2023 09:43:30.314,6104,0.48,ASK,3000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
98,7/3/2023 09:43:34.052,5346,0.485,ASK,1000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited,,,
99,7/3/2023 09:43:43.167,6101,0.475,BID,4000,New Order,6,,Guotai Junan Securities (Hong Kong) Limited,,,
100,7/3/2023 09:48:27.237,2246,0.465,BID,113000,Removed Order,15,,Futu Securities International (Hong Kong) Limited,,,
101,7/3/2023 09:50:49.768,2457,0.49,ASK,30000,New Order,6,,Futu Securities International (Hong Kong) Limited,,,
102,7/3/2023 09:51:03.679,2245,0.5,ASK,30000,New Order,9,,Futu Securities International (Hong Kong) Limited,,,
103,7/3/2023 09:52:34.639,1799,0.48,ASK,4000,New Order,1,,Bright Smart Securities International (H.K.) Limited,,,
104,7/3/2023 09:52:35.403,5346,0.485,ASK,1000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited,,,
105,7/3/2023 09:52:41.174,1799,0.475,BID,10000,Removed Order,2,,Bright Smart Securities International (H.K.) Limited,,,
106,7/3/2023 09:52:43.216,1799,0.48,ASK,2000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
107,7/3/2023 09:52:47.849,1799,0.475,BID,9000,Removed Order,1,,Bright Smart Securities International (H.K.) Limited,,,
108,7/3/2023 09:53:35.622,1799,0.48,ASK,4000,New Order,2,,Bright Smart Securities International (H.K.) Limited,,,
109,7/3/2023 09:54:51.063,1799,0.48,ASK,4000,New Order,3,,Bright Smart Securities International (H.K.) Limited,,,
110,7/3/2023 09:58:57.305,1799,0.48,ASK,2000,Removed Order,1,,Bright Smart Securities International (H.K.) Limited,,,
111,7/3/2023 10:01:04.045,1799,0.48,ASK,4000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
112,7/3/2023 10:01:04.045,1799,0.48,ASK,1000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
113,7/3/2023 10:01:14.145,2992,0.48,BID,4000,New Order,1,,Zhongtai International Securities Limited,,,
114,7/3/2023 10:01:14.145,2992,0.48,BID,3000,Trade,1,,Zhongtai International Securities Limited,,,
115,7/3/2023 10:01:14.145,1799,0.48,ASK,3000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
116,7/3/2023 10:01:18.198,5345,0.485,ASK,10000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited,,,
117,7/3/2023 10:01:20.845,6106,0.485,ASK,1000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
118,7/3/2023 10:01:47.349,2992,0.48,BID,1000,Trade,1,,Zhongtai International Securities Limited,,,
119,7/3/2023 10:02:14.861,1799,0.48,ASK,6000,New Order,1,,Bright Smart Securities International (H.K.) Limited,,,
120,7/3/2023 10:02:20.141,5345,0.485,ASK,10000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited,,,
121,7/3/2023 10:02:27.053,6105,0.475,BID,1000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
122,7/3/2023 10:08:25.325,1799,0.48,ASK,1000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
123,7/3/2023 10:14:44.272,1799,0.48,ASK,5000,Removed Order,1,,Bright Smart Securities International (H.K.) Limited,,,
124,7/3/2023 10:14:46.373,5337,0.485,ASK,20000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited,,,
125,7/3/2023 10:15:56.493,8297,0.475,ASK,48000,New Order,1,,Yue Xiu Securities Company Limited,,,
126,7/3/2023 10:15:56.493,6105,0.475,BID,5000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
127,7/3/2023 10:15:56.493,8297,0.475,ASK,5000,Trade,1,,Yue Xiu Securities Company Limited,,,
128,7/3/2023 10:15:56.493,8295,0.475,BID,30000,Trade,1,,Yue Xiu Securities Company Limited,,,
129,7/3/2023 10:15:56.493,8297,0.475,ASK,30000,Trade,1,,Yue Xiu Securities Company Limited,,,
130,7/3/2023 10:15:56.493,8290,0.475,BID,13000,Trade,1,,Yue Xiu Securities Company Limited,,,
131,7/3/2023 10:15:56.493,8297,0.475,ASK,13000,Trade,1,,Yue Xiu Securities Company Limited,,,
132,7/3/2023 10:15:56.568,8297,0.48,ASK,30000,New Order,1,,Yue Xiu Securities Company Limited,,,
133,7/3/2023 10:15:56.594,8298,0.48,ASK,13000,New Order,2,,Yue Xiu Securities Company Limited,,,
134,7/3/2023 10:16:04.654,5337,0.485,ASK,20000,Removed Order,6,,J.P. Morgan Broking (Hong Kong) Limited,,,
135,7/3/2023 10:16:15.091,8290,0.475,BID,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
136,7/3/2023 10:16:15.154,8298,0.48,ASK,1000,New Order,3,,Yue Xiu Securities Company Limited,,,
137,7/3/2023 10:16:20.523,5347,0.48,ASK,4000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited,,,
138,7/3/2023 10:16:33.284,6104,0.48,ASK,6000,New Order,5,,Guotai Junan Securities (Hong Kong) Limited,,,
139,7/3/2023 10:17:15.098,8290,0.475,BID,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
140,7/3/2023 10:17:15.168,8293,0.48,ASK,1000,New Order,6,,Yue Xiu Securities Company Limited,,,
141,7/3/2023 10:17:36.053,8290,0.475,BID,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
142,7/3/2023 10:17:36.155,8297,0.48,ASK,1000,New Order,7,,Yue Xiu Securities Company Limited,,,
143,7/3/2023 10:17:47.745,6101,0.475,BID,4000,Removed Order,2,,Guotai Junan Securities (Hong Kong) Limited,,,
144,7/3/2023 10:17:57.085,8290,0.475,BID,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
145,7/3/2023 10:17:57.149,8295,0.48,ASK,1000,New Order,8,,Yue Xiu Securities Company Limited,,,
146,7/3/2023 10:20:25.040,8301,0.455,BID,10000,New Order,13,,Futu Securities International (Hong Kong) Limited,,,
147,7/3/2023 10:20:44.340,8302,0.485,ASK,20000,New Order,12,,Futu Securities International (Hong Kong) Limited,,,
148,7/3/2023 10:26:24.720,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
