,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MBO_SEQNUM_RT,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MD_TABLE_CMD_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBO_ORDER_ID_RT
2704,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,13,0.50999999,8299,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2705,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,14,0.50999999,8304,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2706,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,15,0.519999981,4409,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2707,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,16,0.519999981,5666,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2708,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,17,0.529999971,8305,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2709,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,18,0.529999971,8466,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2710,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,19,0.540000021,2578,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2711,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,20,0.550000012,5138,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2712,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,21,0.550000012,1978,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
2713,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,22,0.550000012,8575,,0,REPLACE,6/28/2023 08:01:08.000,,,,,,
