Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
08:33.3,1382,2.61,ASK,10000,New Order,4,,Everbright Securities Investment Services (HK) Limited
08:43.3,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
08:43.5,9057,2.62,ASK,3000,Removed Order,10,,UBS Securities Hong Kong Limited
08:43.5,9057,2.61,ASK,3000,New Order,5,,UBS Securities Hong Kong Limited
08:45.2,5999,2.6,ASK,11000,Trade,1,,China Innovation Market Service Company Limited
08:45.2,5342,2.59,BID,20000,Removed Order,4,,J.P. Morgan Broking (Hong Kong) Limited
08:45.2,2310,2.55,BID,20000,New Order,20,,Hang Seng Securities Limited
08:45.8,6387,2.6,ASK,17000,New Order,2,,Morgan Stanley Hong Kong Securities Limited
08:45.8,6387,2.61,ASK,18000,New Order,7,,Morgan Stanley Hong Kong Securities Limited
08:47.6,6384,2.59,BID,4000,New Order,4,,Morgan Stanley Hong Kong Securities Limited
08:52.0,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
08:52.0,2075,2.53,BID,375000,New Order,25,,Barclays Capital Asia Limited
08:52.2,9057,2.61,ASK,3000,Removed Order,6,,UBS Securities Hong Kong Limited
08:52.2,9057,2.6,ASK,3000,New Order,3,,UBS Securities Hong Kong Limited
08:56.2,4839,2.55,BID,1000,New Order,22,,Realink Financial Trade Limited
08:56.6,5999,2.6,ASK,50000,Trade,1,,China Innovation Market Service Company Limited
08:56.9,1836,2.54,BID,31000,New Order,24,,Instinet Pacific Limited
08:58.0,4839,2.65,ASK,2000,New Order,29,,Realink Financial Trade Limited
08:58.0,5342,2.59,BID,20000,New Order,5,,J.P. Morgan Broking (Hong Kong) Limited
08:58.0,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
08:59.3,4839,2.51,BID,1000,New Order,31,,Realink Financial Trade Limited
09:06.8,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
09:06.8,5999,2.6,ASK,518000,Trade,1,,China Innovation Market Service Company Limited
09:06.8,6387,2.6,ASK,17000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
